agent,step,time_s,x_m,y_m,heading_bin,yaw_rad,yaw_deg,primitive_id_to_next
0,0,0.0,1.7,0.5,2,1.5707963267948966,90.0,21
0,1,0.5,1.48786796564,0.412132034356,3,2.356194490192345,135.0,21
0,2,1.0,1.4,0.2,4,3.141592653589793,180.0,22
0,3,1.5,1.48786796564,0.412132034356,3,2.356194490192345,135.0,22
0,4,2.0,1.7,0.5,2,1.5707963267948966,90.0,1
0,5,2.5,1.8,0.5,2,1.5707963267948966,90.0,21
0,6,3.0,1.58786796564,0.412132034356,3,2.356194490192345,135.0,21
0,7,3.5,1.5,0.2,4,3.141592653589793,180.0,22
0,8,4.0,1.58786796564,0.412132034356,3,2.356194490192345,135.0,22
0,9,4.5,1.8,0.5,2,1.5707963267948966,90.0,18
0,10,5.0,1.3,0.5,2,1.5707963267948966,90.0,1
0,11,5.5,1.4,0.5,2,1.5707963267948966,90.0,22
0,12,6.0,1.61213203436,0.412132034356,1,0.7853981633974483,45.0,22
0,13,6.5,1.7,0.2,0,0.0,0.0,21
0,14,7.0,1.61213203436,0.412132034356,1,0.7853981633974483,45.0,21
0,15,7.5,1.4,0.5,2,1.5707963267948966,90.0,21
0,16,8.0,1.18786796564,0.412132034356,3,2.356194490192345,135.0,3
0,17,8.5,1.18786796564,0.512132034356,3,2.356194490192345,135.0,
1,0,0.0,0.5,0.2,0,0.0,0.0,0
1,1,0.5,0.5,0.2,0,0.0,0.0,0
1,2,1.0,0.5,0.2,0,0.0,0.0,1
1,3,1.5,0.6,0.2,0,0.0,0.0,17
1,4,2.0,1.1,0.2,0,0.0,0.0,2
1,5,2.5,1.0,0.2,0,0.0,0.0,18
1,6,3.0,0.5,0.2,0,0.0,0.0,0
1,7,3.5,0.5,0.2,0,0.0,0.0,1
1,8,4.0,0.6,0.2,0,0.0,0.0,17
1,9,4.5,1.1,0.2,0,0.0,0.0,14
1,10,5.0,0.7,0.2,0,0.0,0.0,0
1,11,5.5,0.7,0.2,0,0.0,0.0,0
1,12,6.0,0.7,0.2,0,0.0,0.0,0
1,13,6.5,0.7,0.2,0,0.0,0.0,0
1,14,7.0,0.7,0.2,0,0.0,0.0,0
1,15,7.5,0.7,0.2,0,0.0,0.0,6
1,16,8.0,0.5,0.2,0,0.0,0.0,0
1,17,8.5,0.5,0.2,0,0.0,0.0,
2,0,0.0,2.3,0.5,6,4.71238898038469,270.0,0
2,1,0.5,2.3,0.5,6,4.71238898038469,270.0,0
2,2,1.0,2.3,0.5,6,4.71238898038469,270.0,0
2,3,1.5,2.3,0.5,6,4.71238898038469,270.0,0
2,4,2.0,2.3,0.5,6,4.71238898038469,270.0,0
2,5,2.5,2.3,0.5,6,4.71238898038469,270.0,0
2,6,3.0,2.3,0.5,6,4.71238898038469,270.0,0
2,7,3.5,2.3,0.5,6,4.71238898038469,270.0,0
2,8,4.0,2.3,0.5,6,4.71238898038469,270.0,0
2,9,4.5,2.3,0.5,6,4.71238898038469,270.0,0
2,10,5.0,2.3,0.5,6,4.71238898038469,270.0,0
2,11,5.5,2.3,0.5,6,4.71238898038469,270.0,0
2,12,6.0,2.3,0.5,6,4.71238898038469,270.0,0
2,13,6.5,2.3,0.5,6,4.71238898038469,270.0,0
2,14,7.0,2.3,0.5,6,4.71238898038469,270.0,0
2,15,7.5,2.3,0.5,6,4.71238898038469,270.0,0
2,16,8.0,2.3,0.5,6,4.71238898038469,270.0,0
2,17,8.5,2.3,0.5,6,4.71238898038469,270.0,
